电场名称,省,市,区,装机容量(MW),所属企业,所属集团
哈科迪,,,,49.5,新平风能风之子风电有限公司,国家电力投资集团
哈科迪梁子风电场,云南省,,,0.0,新平凌沄新能源有限公司,
回龙梁子风电,云南省,,,100.0,会泽云能投新能源开发有限公司,
基洛山风电,云南省,,,100.0,三峡新能源发电(弥勒)有限责任公司,
塔甸风电场,云南省,玉溪市,峨山县,50.0,大唐云南发电有限公司,
大中山,,,,40.0,大姚云能投新能源开发有限公司,云南能源投资
大中山二期,,,,50.0,大姚云能投新能源开发有限公司,
大坪子,,,,49.5,大唐永善风电有限责任公司,大唐集团
大海梁子风电,云南省,,,50.4,会泽云能投新能源开发有限公司,
大海梁子风电（金钟2期）,,,,50.4,会泽云能投新能源开发有限公司,
大海梁子（含二期）,,,,96.0,会泽云能投新能源开发有限公司,云南能源投资
大牛风电场,云南省,红河州,石屏县,56.25,淮河能源（集团）股份有限公司,
大牛（含二期）,,,,96.0,云南湘电中诺新能源有限公司,湘电集团
大田风电场,云南省,玉溪市,新平县,31.25,大唐云南发电有限公司,
大绿山,,,,48.0,中广核曲靖宣威风力发电有限公司,中广核
大绿山（文兴北区）,,,,52.2,中广核曲靖宣威风力发电有限公司,
大莫古,,,,49.5,云南龙源新能源有限公司,国家能源投资集团
大赖石山（含五期）,,,,223.5,国能巧家新能源有限公司,国家能源投资集团
大风丫口（含二期）,,,,73.5,云南国电电力富民风电开发有限公司,国家能源投资集团
大风坝,,,,48.0,华能港灯大理风力发电有限公司,华能集团
大黑山（含二期）,,,,96.0,云南华电大黑山风力发电有限公司,华电集团
大龙口（含三期）,,,,145.0,三峡新能源云南姚安发电有限公司,三峡集团
大龙山（含三期）,,,,144.0,大唐丘北风电有限责任公司,大唐集团
天峰山,,,,199.25,华能大理风力发电有限公司祥云分公司,华能集团
太平风电场,云南省,红河州,弥勒市,75.0,大唐云南发电有限公司、弥勒宇呈新材料有限公司（联合体）,
富源北光梁子风电,云南省,,,130.0,华能清洁能源（曲靖富源）有限公司,
对门山风电场,云南省,,,48.0,云南弥勒石洞山发电有限公司,
对门梁子,,,,90.0,马龙云能投新能源开发有限公司,云南能源投资
将军山三期（火特风电场）,,,,100.0,中电建（华宁）新能源开发有限公司,
将军山（含二期）,,,,88.0,云南华宁火特新能源开发有限公司,中国电建集团
小白岩风电场,云南省,昆明市,寻甸县,75.0,中节能风力发电四川有限公司,
尼白木克,,,,49.5,红河石屏盛唐新能源有限公司,大唐集团
